0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Hijuela 4,21.76,18.70,-14.06 %,,PMGD PFV Las Chilcas,60.34,84.47,39.99 %,
PMGD PFV Homero,23.90,23.00,-3.77 %,,PMGD PFV Las Codornices,13.20,19.70,49.24 %,
PMGD PFV Hormiga,11.64,9.37,-19.50 %,,PMGD PFV Las Golondrinas,49.45,49.71,0.53 %,
PMGD PFV Hornitos,1.60,0.00,-100.00 %,,PMGD PFV Las Guindillas,69.14,77.94,12.73 %,
PMGD PFV Hortensias,17.63,18.60,5.50 %,,PMGD PFV Las Lechuzas,12.60,15.42,22.38 %,
PMGD PFV Huape,18.31,13.52,-26.16 %,,PMGD PFV Las Majadas,66.07,57.08,-13.61 %,
PMGD PFV Huaquelon,73.53,66.89,-9.03 %,,PMGD PFV Las Mercedes,16.81,18.10,7.67 %,
PMGD PFV Huingan,83.28,82.35,-1.12 %,,PMGD PFV Las Mollacas,18.76,0.00,-100.00 %,
PMGD PFV Hurtado,19.85,0.00,-100.00 %,,PMGD PFV Las Palmas,,,,
,,,,,,20.93,21.68,3.58 %,
,,,,,Verano,,,,
PMGD PFV ICB,0.00,0.00,,,,,,,
,,,,,PMGD PFV Las Palomas,20.60,18.79,-8.79 %,
PMGD PFV ISIDRO,42.35,45.18,6.68 %,,,,,,
,,,,,PMGD PFV Las Perdices,18.30,0.00,-100.00 %,
PMGD PFV Idahue del,,,,,,,,,
,18.60,20.74,11.51 %,,,,,,
Verano,,,,,PMGD PFV Las Rojas,21.40,19.61,-8.36 %,
PMGD PFV Illapel 5X,27.70,12.66,-54.30 %,,PMGD PFV Las Tacas,21.60,21.75,0.69 %,
PMGD PFV Independencia,18.25,21.44,17.48 %,,PMGD PFV Las Taguas,64.60,88.72,37.34 %,
PMGD PFV Itahue Solar,22.50,38.72,72.09 %,,PMGD PFV Las Tencas,58.81,63.17,7.41 %,
PMGD PFV Jacarandá,8.07,10.98,36.06 %,,PMGD PFV Las Terrazas,17.40,0.00,-100.00 %,
PMGD PFV Jahuel,42.76,42.20,-1.31 %,,PMGD PFV Las Torcazas,20.72,22.15,6.90 %,
PMGD PFV Jardin Solar,,,,,PMGD PFV Las Tortolas,17.42,15.56,-10.68 %,
,56.63,57.01,0.67 %,,,,,,
Petorca,,,,,,,,,
,,,,,PMGD PFV Las Turcas,21.60,12.41,-42.55 %,
PMGD PFV Jaururo,18.70,19.78,5.78 %,,,,,,
,,,,,PMGD PFV Lenga,3.61,26.95,646.54 %,
PMGD PFV Javiera Carrera,79.02,78.23,-1.00 %,,,,,,
,,,,,PMGD PFV Liebre Verano,79.64,79.19,-0.57 %,
