0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Santa Francisca,38.76,35.87,-7.46 %,,PMGD PFV Valle Este II,57.85,78.54,35.76 %,
PMGD PFV Santa Inés,20.93,21.03,0.48 %,,PMGD PFV Valle Oeste II,54.51,75.73,38.93 %,
PMGD PFV Santa Julia,20.65,0.00,-100.00 %,,PMGD PFV Valle de la Luna,,,,
,,,,,,20.90,17.28,-17.32 %,
,,,,,II,,,,
PMGD PFV Santa Laura,16.30,14.55,-10.74 %,,,,,,
,,,,,PMGD PFV Ventisquero,56.23,80.40,42.98 %,
PMGD PFV Santa Lucía,9.34,18.65,99.68 %,,,,,,
,,,,,PMGD PFV Venturada,71.19,57.54,-19.17 %,
PMGD PFV Santa Luisa,22.95,15.43,-32.77 %,,,,,,
,,,,,PMGD PFV Verona,20.58,25.44,23.62 %,
PMGD PFV Santa Margarita,19.32,20.06,3.83 %,,,,,,
,,,,,PMGD PFV Vicente,18.07,18.47,2.21 %,
PMGD PFV Santa Pamela,64.93,52.19,-19.62 %,,,,,,
,,,,,PMGD PFV Victoria,67.23,66.26,-1.44 %,
PMGD PFV Santa Rita,21.96,15.30,-30.33 %,,,,,,
,,,,,PMGD PFV Villa Alegre,66.07,60.16,-8.95 %,
PMGD PFV Santa Teresita,75.54,74.33,-1.60 %,,,,,,
,,,,,PMGD PFV Villa CVE,39.62,40.54,2.32 %,
PMGD PFV Santuario,23.60,21.36,-9.49 %,,,,,,
,,,,,PMGD PFV Villa Cruz,16.20,12.84,-20.74 %,
PMGD PFV Saturno Norte,31.05,23.54,-24.19 %,,,,,,
,,,,,PMGD PFV Villa Moscoso,16.55,22.10,33.53 %,
PMGD PFV Siete Colores,53.16,55.33,4.08 %,,,,,,
,,,,,PMGD PFV Villa Prat,18.15,19.85,9.37 %,
PMGD PFV Sirimavo,18.94,17.70,-6.55 %,,,,,,
,,,,,PMGD PFV Villa Seca,14.40,13.12,-8.89 %,
PMGD PFV Sofia,22.68,22.87,0.84 %,,,,,,
,,,,,PMGD PFV Villa Solar,11.90,13.81,16.05 %,
PMGD PFV Sol de,,,,,,,,,
,55.15,54.54,-1.11 %,,,,,,
Septiembre,,,,,PMGD PFV Violeta,37.78,37.65,-0.34 %,
PMGD PFV Sol del Maule,16.74,0.00,-100.00 %,,PMGD PFV Vituco 2B,18.90,17.85,-5.56 %,
PMGD PFV Sol del Norte,19.22,19.55,1.72 %,,PMGD PFV Viñas del Sol,48.89,51.17,4.66 %,
PMGD PFV Solar Del Bueno,17.53,9.03,-48.49 %,,PMGD PFV Yahutela,45.53,44.66,-1.91 %,
PMGD PFV Solaris,0.00,82.80,,,PMGD PFV Yungay II,,,,
,,,,,,26.15,23.09,-11.70 %,
,,,,,Trilaleo,,,,
PMGD PFV Soy Solar,21.76,23.52,8.09 %,,,,,,
,,,,,PMGD PFV Ñilhue,5.04,3.02,-40.08 %,
PMGD PFV Sunhunter,73.84,67.09,-9.14 %,,,,,,
,,,,,PMGD PFV Ñiquén,19.10,13.91,-27.17 %,
PMGD PFV Sunray,56.69,63.02,11.17 %,,,,,,
,,,,,PMGD TER Aggreko 01,0.00,0.00,,
PMGD PFV Tabolango,76.25,77.02,1.01 %,,,,,,
,,,,,PMGD TER Agni,0.00,0.00,,
PMGD PFV Talagante,74.94,76.08,1.52 %,,,,,,
,,,,,PMGD TER Alerce,0.00,0.00,,
PMGD PFV Talca,41.88,40.91,-2.32 %,,,,,,
,,,,,PMGD TER Almendrado,0.00,0.00,,
PMGD PFV Talhuén,24.80,20.64,-16.77 %,,,,,,
,,,,,PMGD TER Ancalí,0.00,0.00,,
PMGD PFV Tallado,68.76,74.70,8.64 %,,,,,,
,,,,,PMGD TER Aromos,0.00,0.00,,
PMGD PFV Tamarama,58.77,91.70,56.03 %,,,,,,
,,,,,PMGD TER Bellet,0.00,0.00,,
PMGD PFV Tamarugo,21.91,22.16,1.14 %,,,,,,
,,,,,PMGD TER Berlioz,0.00,0.00,,
PMGD PFV Tambo Real,19.04,16.85,-11.50 %,,,,,,
,,,,,PMGD TER Bio Cruz,0.00,0.00,,
PMGD PFV Taranto,73.09,73.95,1.18 %,,,,,,
,,,,,PMGD TER Bluegate,0.00,0.00,,
PMGD PFV Taruca,58.99,80.89,37.12 %,,,,,,
,,,,,PMGD TER Boldos,0.00,0.00,,
PMGD PFV Techos de,,,,,,,,,
,1.14,0.00,-100.00 %,,,,,,
Altamira,,,,,PMGD TER Calafate,0.00,0.00,,
PMGD PFV Tes Solar,22.08,16.87,-23.60 %,,PMGD TER Calfuco,0.00,0.00,,
PMGD PFV Tierra,33.82,62.91,86.01 %,,PMGD TER Camping,0.00,0.00,,
PMGD PFV Tijeral,19.00,20.42,7.47 %,,PMGD TER Casablanca,0.00,0.00,,
PMGD PFV Til Til,11.11,3.69,-66.79 %,,PMGD TER Casablanca II,0.00,0.00,,
PMGD PFV Topacio,19.47,19.86,2.00 %,,PMGD TER Cañete,0.00,1.31,,
