0,1,2,3,4,5,6,7,8,9
PMGD PFV Torino,47.77,63.15,32.20 %,,PMGD TER Chile,0.00,0.00,,
PMGD PFV Tortolas del,,,,,PMGD TER Chillan,0.00,0.00,,
,19.37,17.50,-9.65 %,,,,,,
Verano,,,,,,,,,
,,,,,PMGD TER Chorrillos,0.00,0.00,,
PMGD PFV Tortuga,2.28,18.16,696.49 %,,,,,,
,,,,,PMGD TER Chufkén,0.00,0.00,,
PMGD PFV Tranque del Sol,72.39,61.77,-14.67 %,,,,,,
,,,,,PMGD TER Ciruelillo,0.00,0.00,,
PMGD PFV Trebal,18.40,12.50,-32.07 %,,,,,,
,,,,,PMGD TER Coelemu,0.00,9.41,,
PMGD PFV Trebo,14.87,15.31,2.96 %,,,,,,
,,,,,PMGD TER Conchalí,0.00,0.00,,
PMGD PFV Trica-Dos,16.70,17.38,4.07 %,,,,,,
,,,,,PMGD TER Contulmo,0.00,0.00,,
PMGD PFV Tricahue II,79.90,53.30,-33.29 %,,,,,,
,,,,,PMGD TER Copiulemu,0.00,0.00,,
PMGD PFV Trinidad,21.42,22.94,7.10 %,,,,,,
,,,,,PMGD TER Cortés,0.00,0.00,,
PMGD PFV Tucuquere,20.30,19.53,-3.79 %,,,,,,
,,,,,PMGD TER Curacautín,0.00,0.00,,
PMGD PFV Turquia,10.26,9.45,-7.89 %,,,,,,
,,,,,PMGD TER Curauma,0.00,0.00,,
PMGD PFV UTFSM V.,,,,,,,,,
,0.09,0.01,-88.89 %,,,,,,
Valdés,,,,,PMGD TER Dagoberto,0.00,0.00,,
PMGD PFV UTFSM Vitacura,0.00,0.00,,,PMGD TER Deuco,0.00,0.00,,
PMGD PFV UTFSM Viña,0.99,0.82,-17.17 %,,PMGD TER Diesel Cerezo,0.00,0.00,,
PMGD PFV VELASCO,,,,,PMGD TER Diesel Coya,0.00,0.00,,
,11.17,36.43,226.14 %,,,,,,
SOLAR,,,,,,,,,
PMGD PFV Valle Alegre,16.08,18.62,15.80 %,,,,,,
