0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Don Enrique,74.86,69.03,-7.79 %,,PMGD PFV El,,,,
,,,,,,23.17,18.88,-18.52 %,
,,,,,Reconquistador,,,,
PMGD PFV Don Eugenio,22.89,23.08,0.83 %,,,,,,
,,,,,PMGD PFV El Resplandor,19.22,15.72,-18.21 %,
PMGD PFV Don Jorge,24.04,23.87,-0.71 %,,,,,,
,,,,,PMGD PFV El Roble,62.80,60.12,-4.27 %,
PMGD PFV Don Mariano,16.43,21.80,32.68 %,,,,,,
,,,,,PMGD PFV El Romeral,43.05,59.15,37.40 %,
PMGD PFV Don Martín,22.08,17.26,-21.83 %,,,,,,
,,,,,PMGD PFV El Salitral,27.61,27.56,-0.18 %,
PMGD PFV Don Matías,15.25,21.19,38.95 %,,,,,,
,,,,,PMGD PFV El Sauce,20.50,17.55,-14.39 %,
PMGD PFV Don Rodrigo,38.92,36.76,-5.55 %,,,,,,
,,,,,PMGD PFV El Sharon,20.12,18.74,-6.86 %,
PMGD PFV Don Simón,32.81,34.89,6.34 %,,,,,,
,,,,,PMGD PFV El Tiuque,10.12,10.33,2.08 %,
PMGD PFV Doña Igna,21.79,19.46,-10.69 %,,,,,,
,,,,,PMGD PFV El Trigal,0.63,0.50,-20.63 %,
PMGD PFV Doña Regina,21.56,14.31,-33.63 %,,,,,,
,,,,,PMGD PFV El Trile,80.25,72.08,-10.18 %,
PMGD PFV Doña Rubena,0.00,10.49,,,,,,,
,,,,,PMGD PFV El Trébol,9.20,9.38,1.96 %,
PMGD PFV Doñihue,49.10,55.98,14.01 %,,,,,,
,,,,,PMGD PFV El Turpial,13.13,18.65,42.04 %,
PMGD PFV Drux,0.00,0.00,,,,,,,
,,,,,PMGD PFV El Zorzal,0.00,0.00,,
PMGD PFV Duqueco Solar,78.88,66.15,-16.14 %,,,,,,
,,,,,PMGD PFV El Ñandú,13.74,22.39,62.95 %,
PMGD PFV Dínamo,22.40,22.81,1.83 %,,,,,,
,,,,,PMGD PFV Elvira,0.00,15.34,,
PMGD PFV EA SF Graneros,17.57,18.69,6.37 %,,,,,,
,,,,,PMGD PFV Enami Solar,40.45,40.91,1.14 %,
PMGD PFV EA SF Pichilemu,20.68,22.34,8.03 %,,,,,,
,,,,,PMGD PFV Encina III,39.06,50.25,28.65 %,
PMGD PFV EL TRIUNFO,0.00,0.00,,,,,,,
,,,,,PMGD PFV Encino,17.74,19.90,12.18 %,
PMGD PFV Ea Maiten,18.85,19.29,2.33 %,,,,,,
,,,,,PMGD PFV Encon,58.30,55.38,-5.01 %,
PMGD PFV Eclipse,79.90,57.93,-27.50 %,,,,,,
,,,,,PMGD PFV Erinome,18.45,0.32,-98.27 %,
PMGD PFV El Boco,23.20,0.00,-100.00 %,,,,,,
,,,,,PMGD PFV Escorial del,,,,
,,,,,,20.21,20.16,-0.25 %,
PMGD PFV El Caiquén,82.40,62.06,-24.68 %,,Verano,,,,
PMGD PFV El Cardenal,21.29,17.97,-15.59 %,,PMGD PFV Esfena,51.77,51.64,-0.25 %,
PMGD PFV El Carpintero,71.53,70.61,-1.29 %,,PMGD PFV Esmeralda,18.75,16.95,-9.60 %,
PMGD PFV El Castaño,59.65,65.76,10.24 %,,PMGD PFV FRAGATA,16.84,14.15,-15.97 %,
PMGD PFV El Caturro,0.00,0.00,,,PMGD PFV Falcón,21.69,22.67,4.52 %,
PMGD PFV El Cernicalo,10.48,10.43,-0.48 %,,PMGD PFV Faramalla,18.46,18.72,1.41 %,
PMGD PFV El Cernicalo II,10.48,9.85,-6.01 %,,PMGD PFV Fardela Negra,23.26,23.58,1.38 %,
PMGD PFV El Chercan,71.26,84.20,18.16 %,,PMGD PFV Faro Santa,,,,
,,,,,,0.00,0.00,,
,,,,,Elena,,,,
PMGD PFV El Chincol,19.30,16.66,-13.68 %,,,,,,
,,,,,PMGD PFV Filomena,0.00,0.00,,
PMGD PFV El Chucao,22.25,17.03,-23.46 %,,,,,,
,,,,,PMGD PFV Flor del Llano,36.24,35.60,-1.77 %,
PMGD PFV El Cuervo,17.01,17.87,5.06 %,,,,,,
,,,,,PMGD PFV Florencia Solar,46.92,71.79,53.01 %,
PMGD PFV El Cóndor,6.74,10.08,49.55 %,,,,,,
,,,,,PMGD PFV Foster,20.90,20.58,-1.53 %,
PMGD PFV El Divisadero,23.55,24.20,2.76 %,,,,,,
,,,,,PMGD PFV Fotovolt,0.00,0.00,,
PMGD PFV El Estero,13.89,11.68,-15.91 %,,,,,,
,,,,,PMGD PFV Fotovolt Lin,38.11,38.07,-0.10 %,
PMGD PFV El Flamenco,71.20,60.41,-15.15 %,,,,,,
,,,,,PMGD PFV Francisco,23.20,22.93,-1.16 %,
PMGD PFV El Gaviotin,64.28,87.39,35.95 %,,,,,,
,,,,,PMGD PFV Fulgor,18.84,14.78,-21.55 %,
PMGD PFV El Huaso,0.00,0.00,,,,,,,
,,,,,PMGD PFV Fuster del,,,,
,,,,,,73.85,74.68,1.12 %,
PMGD PFV El Ingenio,51.45,65.84,27.97 %,,Verano,,,,
PMGD PFV El Interlocutor,20.25,21.83,7.80 %,,PMGD PFV Fénix,83.60,0.00,-100.00 %,
PMGD PFV El Laurel,49.60,49.14,-0.93 %,,PMGD PFV GR Lemu,25.47,22.99,-9.74 %,
PMGD PFV El Litre,0.00,0.00,,,PMGD PFV GR Peumo,63.33,67.99,7.36 %,
PMGD PFV El Loro Choroy,46.21,2.39,-94.83 %,,PMGD PFV GR Pitao,79.60,80.52,1.16 %,
PMGD PFV El Mirlo,45.67,60.18,31.77 %,,PMGD PFV GR Rauli,57.00,74.77,31.18 %,
PMGD PFV El Monte,20.10,19.95,-0.75 %,,PMGD PFV GR Santa Rosa,51.23,50.93,-0.59 %,
PMGD PFV El Monte,,,,,PMGD PFV Gabardo del,,,,
,0.00,0.00,,,,30.28,64.81,114.04 %,
Ampliación,,,,,Verano,,,,
PMGD PFV El Palqui,14.28,11.12,-22.13 %,,PMGD PFV Gabriela,90.85,90.46,-0.43 %,
PMGD PFV El Picurio,21.40,25.15,17.52 %,,PMGD PFV Girasoles,20.43,20.42,-0.05 %,
PMGD PFV El Pilpen,23.10,24.43,5.76 %,,PMGD PFV Granada,70.50,60.78,-13.79 %,
PMGD PFV El Pitio,20.00,19.60,-2.00 %,,PMGD PFV Granate,75.00,69.35,-7.53 %,
PMGD PFV El Piuquen,24.07,17.85,-25.84 %,,PMGD PFV Guadalao,19.20,29.06,51.35 %,
PMGD PFV El Queltehue,23.20,25.21,8.66 %,,PMGD PFV Guadalupe,49.21,49.12,-0.18 %,
PMGD PFV El Quemado,27.60,22.99,-16.70 %,,PMGD PFV Guanaco Solar,72.46,73.38,1.27 %,
PMGD PFV El Queule,45.10,0.00,-100.00 %,,PMGD PFV Guarana,0.00,22.18,,
PMGD PFV El Rayador,62.98,87.88,39.54 %,,PMGD PFV Génova,70.50,7.74,-89.02 %,
,,,,,PMGD PFV Helios,21.11,21.26,0.71 %,
,,,,,PMGD PFV Hergo Los,,,,
,,,,,,21.79,18.73,-14.04 %,
,,,,,Sauces,,,,
