0,1
,JUSTIFICACIÓN DE PRINCIPALES DESVIACIONES (*)
HE Angostura,Menor generación real por menores afluentes.
HE El Toro,Menor generación real por requerimiento de la DOH.
HE Ralco,Menor generación real por costo marginal.
