0,1,2
3.3 Mantenimiento Mayor,,
CENTRAL (≥100 MW),Disponibilidad (%),
HE Angostura,57.00 %,"U-1 mantenimiento mayor, según SD 2026016758."
HE Pangue,50.00 %,"U-1 mantenimiento mayor, según SD 2025141260."
HE Pehuenche,50.00 %,"U-1 mantenimiento mayor, según SD 2025144553."
HE Ralco,50.00 %,"U-2 mantenimiento mayor, según SD 2026024234."
HP Abanico,89.00 %,"U-6 mantenimiento mayor, según SD 2026013258."
HP La Higuera,50.00 %,"U-2 mantenimiento mayor, según SD 2026024254."
