0,1,2,3,4,5,6,7,8,9
1.1. Centrales,,,,,,,,,
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
BESS Alfalfal VR1,0.00,0.00,,,HP Chacayes,1226.18,751.20,-38.74 %,
BESS Alfalfal VR2,170.48,206.93,21.38 %,,HP Chapiquina,68.50,75.16,9.72 %,
BESS Andes,0.00,0.00,,CSE,HP Convento Viejo,0.00,0.00,,
BESS Andes IV,590.47,655.83,11.07 %,,HP Coya,0.00,0.00,,
BESS Andes Solar IIA,259.05,299.28,15.53 %,,HP Cumbres,0.00,0.00,,
BESS Andes Solar IIB,669.64,999.06,49.19 %,,HP Curillinque,1654.65,1540.74,-6.88 %,
BESS Andes Solar III,351.90,307.43,-12.64 %,,HP Digua,0.00,0.00,,
BESS Angamos,0.00,0.00,,,HP El Paso,266.00,193.50,-27.26 %,
BESS Arena,0.00,0.00,,,HP El Pinar,0.00,91.33,,
BESS Arenales,0.00,0.00,,,HP Florida II,116.00,73.40,-36.72 %,
BESS Arica,1.96,3.35,70.92 %,,HP Guayacán,172.96,178.16,3.01 %,
BESS Bolero,348.69,222.65,-36.15 %,,HP Hornitos,439.00,349.70,-20.34 %,
BESS Capricornio,240.04,232.61,-3.10 %,,HP Isla,1327.00,1216.55,-8.32 %,
BESS Chaca,0.00,0.00,,,HP Itata,0.00,0.00,,
BESS Cochrane,0.00,0.00,,RO,HP Juncal,286.00,232.70,-18.64 %,
BESS Coya,563.90,363.93,-35.46 %,,HP La Confluencia,895.00,440.80,-50.75 %,
BESS Desierto de Atacama,218.53,268.73,22.97 %,,HP La Higuera,0.00,388.60,,
BESS Diego de Almagro,,,,,HP La Mina,296.09,39.10,-86.79 %,
,31.16,40.28,29.27 %,,,,,,
Sur,,,,,,,,,
,,,,,HP Laja I,196.63,279.69,42.24 %,
BESS Don Humberto,195.65,58.35,-70.18 %,,,,,,
,,,,,HP Las Lajas,690.00,302.36,-56.18 %,
BESS Fragata,0.00,0.00,,,,,,,
,,,,,HP Lican,312.50,333.48,6.71 %,
BESS Gabriela,220.00,679.13,208.70 %,,,,,,
,,,,,HP Lircay,0.00,0.00,,
BESS Huatacondo,0.00,0.00,,,,,,,
,,,,,HP Loma Alta,737.22,640.03,-13.18 %,
BESS La Cabaña,207.51,79.31,-61.78 %,,,,,,
,,,,,HP Los Hierros,33.00,106.55,222.88 %,
BESS Manzano,155.81,52.27,-66.45 %,,,,,,
,,,,,HP Los Hierros II,0.00,17.59,,PMG
BESS María Elena,119.24,105.96,-11.14 %,,,,,,
