0,1,2,3,4,5,6,7,8,9
,,,,,HP Los Molles,48.40,35.39,-26.88 %,
BESS Nueva Imperial,24.96,0.00,-100.00 %,,,,,,
,,,,,HP Los Quilos,470.00,367.90,-21.72 %,
BESS Nuevo Quillagua,669.04,613.02,-8.37 %,,,,,,
,,,,,HP Maitenes,0.00,0.00,,
BESS Nuevo Quillagua II,607.63,529.01,-12.94 %,,,,,,
,,,,,HP Malalcahuello,0.00,13.66,,
BESS Punta Sierra,2.82,4.41,56.38 %,,,,,,
,,,,,HP Mampil,576.00,566.80,-1.60 %,
BESS Rita del Maitén,0.00,9.56,,,,,,,
,,,,,HP Mocho,216.00,348.65,61.41 %,
BESS Salvador,242.50,251.75,3.81 %,,,,,,
,,,,,HP Palmucho,672.19,678.26,0.90 %,
BESS San Andrés,173.25,196.26,13.28 %,,,,,,
,,,,,HP Peuchen,0.00,0.00,,
BESS Tamaya,204.60,264.25,29.15 %,,,,,,
,,,,,HP Providencia,216.00,163.40,-24.35 %,
BESS Tocopilla,651.89,414.43,-36.43 %,,,,,,
,,,,,HP Pullinque,185.00,248.74,34.45 %,
BESS Uribe Solar,4.55,0.00,-100.00 %,,,,,,
,,,,,HP Puntilla,328.20,258.30,-21.30 %,
BESS Víctor Jara,1229.87,1000.03,-18.69 %,,,,,,
,,,,,HP Queltehues,730.20,774.81,6.11 %,
BESS del Desierto,640.52,810.94,26.61 %,,,,,,
,,,,,HP Quilleco,0.00,0.00,,
CSP Cerro Dominador,0.00,0.00,,,,,,,
,,,,,HP Rio Picoiquen,79.20,70.85,-10.54 %,
GEO Cerro Pabellon,192.00,241.69,25.88 %,,,,,,
,,,,,HP Rucatayo,205.00,238.40,16.29 %,
HE Angostura,3746.95,1922.00,-48.70 %,RO,,,,,
,,,,,HP Rucue,996.42,344.00,-65.48 %,
HE Antuco,1950.02,1871.15,-4.04 %,,,,,,
,,,,,HP Río Colorado,28.80,130.00,351.39 %,
HE Canutillar,2868.85,2992.70,4.32 %,,,,,,
,,,,,HP San Andres,353.25,281.48,-20.32 %,
HE Cipreses,1680.00,1345.55,-19.91 %,RO,,,,,
,,,,,HP San Ignacio,0.00,0.00,,
HE Colbún,2107.21,2284.20,8.40 %,RO,,,,,
,,,,,HP Sauzal,1018.00,533.03,-47.64 %,
HE El Toro,1663.52,224.07,-86.53 %,,,,,,
,,,,,HP Sauzal 60 Hz,0.00,0.00,,
HE Los Cóndores,1748.50,1611.78,-7.82 %,,,,,,
,,,,,HP Sauzalito,59.23,104.36,76.19 %,
HE Machicura,144.00,292.50,103.12 %,,,,,,
,,,,,HP Volcán,212.50,208.34,-1.96 %,
HE Pangue,1539.65,1263.70,-17.92 %,"LF, RO",,,,,
,,,,,Nueva Renca FA_GLP,0.00,0.00,,RO
HE Pehuenche,5505.00,5400.46,-1.90 %,RO,,,,,
,,,,,Nueva Renca FA_GNL,0.00,0.00,,RO
HE Pilmaiquén,207.00,265.84,28.43 %,,,,,,
,,,,,PE ANTOFAGASTA,270.20,566.16,109.53 %,
HE Ralco,3457.88,1897.18,-45.13 %,RO,,,,,
,,,,,PE Alena,153.30,72.82,-52.50 %,
HE Rapel,748.50,792.27,5.85 %,RO,,,,,
,,,,,PE Atacama,1918.94,1245.51,-35.09 %,
HP Abanico,574.37,606.49,5.59 %,,,,,,
,,,,,PE Aurora,1124.40,1132.66,0.73 %,
HP Alfalfal,2181.50,1619.53,-25.76 %,,,,,,
,,,,,PE Cabo Leones 1,802.70,890.99,11.00 %,
HP Alfalfal 2,0.00,0.00,,,,,,,
,,,,,PE Cabo Leones 2,1265.70,1095.29,-13.46 %,
HP Ancoa,336.00,93.80,-72.08 %,,,,,,
,,,,,PE Cabo Leones 3,275.73,1102.46,299.83 %,
HP Blanco,0.00,98.20,,,,,,,
,,,,,PE Calama,971.82,696.96,-28.28 %,
HP Capullo,0.00,260.00,,,,,,,
,,,,,PE Campo Lindo,119.30,76.01,-36.29 %,
HP Carilafquen,312.00,346.33,11.00 %,,,,,,
,,,,,PE Canela,103.39,115.37,11.59 %,
HP Chacabuquito,263.50,196.10,-25.58 %,,,,,,
