0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
TER Punta Colorada Diésel,0.00,0.00,,,TER Yungay U3 GNL,0.00,0.00,,
TER Punta Colorada IFO,0.00,0.00,,,TER Yungay U3 Gas Arg,0.00,67.75,,
TER Quintero 1A Diésel,0.00,0.00,,RO,TER Yungay U4,0.00,0.00,,
,,,,,TOTAL,"242,392.66","231,526.63",-4.48 %,
TER Quintero 1A GNL,0.00,0.00,,RO,,,,,
TER Quintero 1A Gas Arg,1123.50,1283.00,14.20 %,RO,,,,,
TER Quintero 1B Diésel,0.00,0.00,,RO,,,,,
TER Quintero 1B GNL,0.00,0.00,,RO,,,,,
TER Quintero 1B Gas Arg,1143.75,1273.00,11.30 %,RO,,,,,
TER Renca,0.00,0.00,,,,,,,
TER San Isidro I Diésel,0.00,0.00,,,,,,,
TER San Isidro I GNL,0.00,0.00,,,,,,,
TER San Isidro I Gas Arg,7372.49,8018.72,8.77 %,,,,,,
TER San Isidro II Diésel,0.00,0.00,,RO,,,,,
TER San Isidro II GNL,0.00,0.00,,RO,,,,,
TER San Isidro II Gas Arg,7264.58,8326.95,14.62 %,RO,,,,,
TER San Javier 1,0.00,0.00,,,,,,,
TER San Javier 2,0.00,0.00,,,,,,,
TER San Lorenzo 1,0.00,0.00,,,,,,,
TER San Lorenzo 2,0.00,0.00,,,,,,,
TER San Lorenzo 3,0.00,0.00,,,,,,,
TER Santa Fe,0.00,0.00,,,,,,,
TER Santa Lidia,0.00,0.00,,,,,,,
TER Santa Marta,360.24,174.70,-51.50 %,,,,,,
TER Santa María,4408.16,5261.30,19.35 %,LF,,,,,
TER Taltal 1 Diesel,0.00,0.00,,,,,,,
TER Taltal 1 GNL,0.00,0.00,,,,,,,
TER Taltal 1 Gas Arg,0.00,0.00,,,,,,,
TER Taltal 2 Diesel,0.00,0.00,,,,,,,
TER Taltal 2 GNL,0.00,0.00,,,,,,,
TER Taltal 2 Gas Arg,0.00,0.00,,,,,,,
TER Tarapacá-TGTAR,0.00,0.00,,,,,,,
TER Teno,0.00,20.16,,,,,,,
TER Teno Gas GLP,28.80,14.06,-51.18 %,,,,,,
TER Termopacifico,0.00,0.00,,,,,,,
TER Tocopilla-TG1,0.00,0.00,,,,,,,
TER Tocopilla-TG2,0.00,0.00,,,,,,,
TER Tocopilla-TG3 Diesel,0.00,0.00,,,,,,,
TER Tocopilla-TG3 GNL,40.00,0.00,-100.00 %,,,,,,
TER Tocopilla-TG3 Gas Arg,0.00,0.00,,,,,,,
TER Tocopilla-U16 Diesel,0.00,0.00,,,,,,,
TER Tocopilla-U16 GNL,3782.08,3902.93,3.20 %,,,,,,
TER Tocopilla-U16 Gas Arg,0.00,0.00,,,,,,,
TER Trapen,3.90,98.03,2413.59 %,,,,,,
TER Trincao,7.56,58.51,673.94 %,,,,,,
TER Ujina Diésel,0.00,0.00,,,,,,,
TER Ujina HFO,0.00,0.00,,,,,,,
TER Valdivia,504.00,652.75,29.51 %,,,,,,
TER Viñales,528.00,639.39,21.10 %,,,,,,
TER Yungay U1 Diesel,0.00,0.00,,,,,,,
TER Yungay U1 GNL,0.00,0.00,,,,,,,
TER Yungay U1 Gas Arg,0.00,0.00,,,,,,,
TER Yungay U2 Diesel,0.00,0.00,,,,,,,
TER Yungay U2 GNL,0.00,0.00,,,,,,,
TER Yungay U2 Gas Arg,0.00,88.07,,,,,,,
TER Yungay U3 Diesel,0.00,0.00,,,,,,,
