0,1,2,3
Hora,Centro de Control,,Observación
,,,CDC finaliza reducción de inyección de centrales PMGD de acuerdo al criterio de potencia máxima en S/E Cholguán por control de transferencia del Paño
19:00,STS,,
,,C2.,
,,CDC finaliza reducción de inyección de centrales PMGD de acuerdo al criterio de potencia máxima en S/E Cabrero por control de transferencia del,
19:00,STS,,
,,"transformador N° 2 de 66/23 kV, 16 MVA.",
20:00,CDC,"El mayor aumento de generación Bruta horaria fue de 746,4 [MW]",
23:00,CDC,"La mayor disminución de generación Bruta horaria fue de -480,4 [MW]",
