0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Andrómeda,,,,,PMGD PFV Cañones,,,,
,29.70,8.26,-72.19 %,,,71.81,70.61,-1.67 %,
Solar,,,,,Sunlight,,,,
PMGD PFV Angol Solar I,0.00,0.00,,,PMGD PFV Cefalu Solar,21.00,21.31,1.48 %,
PMGD PFV Antonia,18.95,22.50,18.73 %,,PMGD PFV Centauro Solar,49.93,40.20,-19.49 %,
PMGD PFV Argomedo,54.10,59.29,9.59 %,,PMGD PFV Ceres Solar,49.53,44.03,-11.10 %,
PMGD PFV Arica,41.57,83.83,101.66 %,,PMGD PFV Cetus,11.29,0.00,-100.00 %,
PMGD PFV Ariztía,0.00,0.00,,,PMGD PFV Chacabuco,80.40,84.38,4.95 %,
PMGD PFV Armazones,43.48,44.19,1.63 %,,PMGD PFV Chacaico,45.28,37.12,-18.02 %,
PMGD PFV Aromo del,,,,,PMGD PFV Chalinga,15.30,15.50,1.31 %,
,17.91,19.75,10.27 %,,,,,,
Verano,,,,,,,,,
,,,,,PMGD PFV Chamonate,,,,
,,,,,,43.46,74.66,71.79 %,
PMGD PFV Artemisa,24.52,25.02,2.04 %,,Solar,,,,
PMGD PFV Astillas,0.00,0.00,,,PMGD PFV Champa,19.31,75.39,290.42 %,
PMGD PFV Avel Solar,73.68,63.16,-14.28 %,,PMGD PFV Chancon,16.20,17.72,9.38 %,
PMGD PFV Avellano,48.55,42.99,-11.45 %,,PMGD PFV Chañar del,,,,
,,,,,,20.12,26.36,31.01 %,
,,,,,Verano,,,,
PMGD PFV Aviles,57.38,58.72,2.34 %,,,,,,
,,,,,PMGD PFV Chequen Solar,66.89,65.93,-1.44 %,
PMGD PFV Axel Solar,18.60,21.23,14.14 %,,,,,,
,,,,,PMGD PFV Chicauma,,,,
,,,,,,50.23,74.01,47.34 %,
PMGD PFV Ayla,80.36,86.54,7.69 %,,Verano,,,,
PMGD PFV Añuñuca del,,,,,PMGD PFV Chilener,16.34,15.43,-5.57 %,
,18.74,19.03,1.55 %,,,,,,
Verano,,,,,,,,,
,,,,,PMGD PFV Chillán,,,,
,,,,,,0.00,0.00,,
PMGD PFV Barcelona,59.21,77.58,31.03 %,,Confluencia,,,,
PMGD PFV Belenos Til Til,0.00,0.00,,,PMGD PFV Chillán,,,,
,,,,,,11.75,14.29,21.62 %,
,,,,,Huambali,,,,
PMGD PFV Bellavista,0.02,0.08,300.00 %,,,,,,
,,,,,PMGD PFV Chillán Vicente,,,,
,,,,,,17.07,12.67,-25.78 %,
PMGD PFV Belloto B XXVII,17.31,23.36,34.95 %,,Méndez,,,,
PMGD PFV Belén,39.30,42.92,9.21 %,,PMGD PFV Chiloé,70.40,80.27,14.02 %,
PMGD PFV Berrueco,78.53,57.44,-26.86 %,,PMGD PFV Chimbarongo,23.20,18.68,-19.48 %,
PMGD PFV Blu,23.70,25.28,6.67 %,,PMGD PFV Chinchorro,60.43,80.31,32.90 %,
PMGD PFV Boix,22.67,16.16,-28.72 %,,PMGD PFV Cholguan,10.17,10.36,1.87 %,
PMGD PFV Buenas Yerbas,59.26,7.38,-87.55 %,,PMGD PFV Chuchiñi,19.28,16.49,-14.47 %,
PMGD PFV Bulnes,44.82,63.98,42.75 %,,PMGD PFV Cintac,2.53,0.03,-98.81 %,
PMGD PFV Bulnes Barones,22.37,14.84,-33.66 %,,PMGD PFV Cipres,27.15,31.31,15.32 %,
PMGD PFV Bérgamo,17.54,23.05,31.41 %,,PMGD PFV Citrino,18.30,19.88,8.63 %,
PMGD PFV CE Caldera,47.20,73.09,54.85 %,,PMGD PFV Ckilir,86.56,89.00,2.82 %,
PMGD PFV CUARZO,22.10,20.32,-8.05 %,,PMGD PFV Clementina,46.08,46.45,0.80 %,
PMGD PFV Cabildo Sunlight,62.32,76.60,22.91 %,,PMGD PFV Cocharcas,20.64,15.39,-25.44 %,
PMGD PFV Cabilsol,20.65,17.95,-13.08 %,,PMGD PFV Cocinillas,19.40,21.75,12.11 %,
PMGD PFV Cabimas,23.73,22.54,-5.01 %,,PMGD PFV Coinco,18.76,20.93,11.57 %,
PMGD PFV Cabrero,61.52,53.15,-13.61 %,,PMGD PFV Colchagua,14.79,21.91,48.14 %,
PMGD PFV Cachiyuyo II,59.92,79.76,33.11 %,,PMGD PFV Colibri,8.39,6.58,-21.57 %,
PMGD PFV Caimi,0.31,0.24,-22.58 %,,PMGD PFV Colina,60.71,79.87,31.56 %,
PMGD PFV Calama,98.20,90.57,-7.77 %,,PMGD PFV Collanco,12.51,0.00,-100.00 %,
PMGD PFV Calle Larga,20.10,7.51,-62.64 %,,PMGD PFV Coltauco,,,,
,,,,,,16.51,19.62,18.84 %,
,,,,,Almendro,,,,
PMGD PFV Candelaria Solar,20.26,20.70,2.17 %,,,,,,
,,,,,PMGD PFV Concorde,34.43,56.29,63.49 %,
PMGD PFV Canelillo,18.73,22.25,18.79 %,,,,,,
,,,,,PMGD PFV Condor Chepica,21.93,27.34,24.67 %,
PMGD PFV Canesa,20.80,4.37,-78.99 %,,,,,,
,,,,,PMGD PFV Condor Pelvin,20.72,22.11,6.71 %,
PMGD PFV Canquén,23.62,21.45,-9.19 %,,,,,,
,,,,,PMGD PFV Condor Petorca,9.43,20.25,114.74 %,
PMGD PFV Cantera,21.63,23.41,8.23 %,,,,,,
,,,,,PMGD PFV Cordillerilla,10.74,0.00,-100.00 %,
PMGD PFV Cantillana,0.00,0.00,,,,,,,
,,,,,PMGD PFV Corso,20.43,0.00,-100.00 %,
PMGD PFV Cara De Gallo,19.27,17.70,-8.15 %,,,,,,
,,,,,PMGD PFV Cortijo,59.82,51.54,-13.84 %,
PMGD PFV Caracoles,22.16,21.94,-0.99 %,,,,,,
,,,,,PMGD PFV Covadonga,74.93,81.44,8.69 %,
PMGD PFV Caranca,12.06,14.09,16.83 %,,,,,,
,,,,,PMGD PFV Coyunche,22.27,19.49,-12.48 %,
PMGD PFV Casa de Lata,0.00,0.00,,,,,,,
,,,,,PMGD PFV Crucero,25.70,9.10,-64.59 %,
PMGD PFV Casabermeja,51.85,51.22,-1.22 %,,,,,,
,,,,,PMGD PFV Cruz,23.60,23.71,0.47 %,
PMGD PFV Casuto,18.60,16.76,-9.89 %,,,,,,
,,,,,PMGD PFV Curacavi,21.15,21.20,0.24 %,
PMGD PFV Catemu,13.50,15.47,14.59 %,,,,,,
,,,,,PMGD PFV Curaco,72.43,67.69,-6.54 %,
PMGD PFV Cato Solar,22.82,16.57,-27.39 %,,,,,,
,,,,,PMGD PFV Cuz Cuz,20.08,17.79,-11.40 %,
PMGD PFV Catán,0.00,20.56,,,,,,,
,,,,,PMGD PFV Cóndor La Ligua,20.38,23.73,16.44 %,
PMGD PFV Cauce Solar,88.73,87.66,-1.21 %,,,,,,
,,,,,PMGD PFV Dadinco,0.00,0.00,,
PMGD PFV Cauquenes,18.68,15.93,-14.72 %,,,,,,
,,,,,PMGD PFV Darlin,60.40,68.14,12.81 %,
,,,,,PMGD PFV Diego de,,,,
,,,,,,76.72,72.18,-5.92 %,
,,,,,Almagro,,,,
,,,,,PMGD PFV Don Andrónico,15.98,18.58,16.27 %,
