0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PFV Tamango,246.90,229.83,-6.91 %,,PMG PFV Lucas Solar,65.93,73.27,11.13 %,PMG
PFV Tamarico Etapa 2,111.68,701.41,528.05 %,,PMG PFV Machicura,76.80,67.80,-11.72 %,PMG
PFV Tamaya Solar,851.71,707.43,-16.94 %,,PMG PFV North West,87.53,87.34,-0.22 %,PMG
PFV Toledo,0.00,0.00,,,PMG PFV Palermo,55.00,45.31,-17.62 %,PMG
PFV Uribe Solar,83.62,70.10,-16.17 %,,PMG PFV Parque,,,,
,,,,,,68.21,48.36,-29.10 %,PMG
,,,,,Cauquenes,,,,
PFV Usya,16.03,183.22,1042.98 %,,,,,,
,,,,,PMG PFV Pataguilla,77.74,76.89,-1.09 %,PMG
PFV Valle Escondido,725.50,477.40,-34.20 %,,,,,,
,,,,,PMG PFV Peumo Yungay,75.80,21.29,-71.91 %,PMG
PFV Valle del Sol,939.46,631.74,-32.75 %,,,,,,
,,,,,PMG PFV Pilar Los,,,,
,,,,,,13.44,13.18,-1.93 %,PMG
PFV Víctor Jara,1441.73,1611.17,11.75 %,,Amarillos,,,,
PFV Willka,642.51,467.44,-27.25 %,,PMG PFV Piloto Cardones,1.12,0.74,-33.93 %,PMG
PMG HP Aillin,1.88,39.30,1990.43 %,PMG,PMG PFV Puerto Seco,94.03,92.45,-1.68 %,PMG
PMG HP Alto Renaico,19.76,15.90,-19.53 %,PMG,PMG PFV Quilmo,71.90,51.30,-28.65 %,PMG
PMG HP Callao,48.33,60.83,25.86 %,PMG,PMG PFV Raulí,0.00,27.48,,PMG
PMG HP Carena,0.00,0.00,,,PMG PFV Rucasol,0.00,0.00,,PMG
PMG HP Chiburgo,0.00,158.10,,,PMG PFV SDGx01,8.80,0.00,-100.00 %,PMG
PMG HP Cipresillos,93.10,48.04,-48.40 %,,PMG PFV Sol del Norte,56.83,41.21,-27.49 %,PMG
PMG HP Corrales,71.08,66.20,-6.87 %,PMG,PMG PFV Teno Solar,48.95,68.18,39.28 %,PMG
PMG HP Correntoso,72.00,178.65,148.13 %,PMG,PMG PFV Tutuvén,52.10,38.62,-25.87 %,
PMG HP Don Eugenio,38.76,25.66,-33.80 %,PMG,PMG PFV Venezia,56.51,72.81,28.84 %,PMG
PMG HP Dos Valles,0.00,0.00,,PMG,PMG PFV Villa Longaví,60.50,56.72,-6.25 %,PMG
PMG HP El Rincón,5.76,5.70,-1.04 %,PMG,PMG TER Aguas Blancas,0.00,0.00,,PMG
PMG HP Florida,0.00,0.00,,PMG,PMG TER CMPC Tissue,0.00,0.00,,PMG
PMG HP Florida III,55.20,52.80,-4.35 %,PMG,PMG TER Calle Calle,0.00,0.00,,PMG
PMG HP Juncalito,10.40,6.70,-35.58 %,PMG,PMG TER Celco,15.00,0.31,-97.93 %,"PMG, LF"
PMG HP La Confianza,38.40,28.95,-24.61 %,PMG,PMG TER Chiloé,0.00,0.00,,PMG
PMG HP Las Nieves,48.00,86.41,80.02 %,,PMG TER Concón,0.00,0.00,,PMG
PMG HP Llauquereo,9.67,23.59,143.95 %,PMG,PMG TER Constitución,0.00,0.00,,PMG
PMG HP MC1,163.26,202.32,23.93 %,PMG,PMG TER El Totoral,0.00,0.00,,PMG
PMG HP MC2,43.73,42.35,-3.16 %,PMG,PMG TER Las Vegas,0.00,0.00,,PMG
PMG HP MC3,45.60,49.90,9.43 %,PMG,PMG TER Licantén,0.00,0.00,,PMG
PMG HP Mariposas,72.00,78.10,8.47 %,PMG,PMG TER Linares Norte,0.00,0.00,,PMG
PMG HP Nalcas,91.20,112.66,23.53 %,PMG,PMG TER Maule,0.00,0.00,,PMG
PMG HP Ojos de Agua,146.80,145.76,-0.71 %,PMG,PMG TER Placilla,0.00,0.00,,PMG
PMG HP Palacios,13.46,4.60,-65.82 %,PMG,PMG TER Quintay,0.00,0.00,,PMG
PMG HP Palmar,43.20,73.36,69.81 %,PMG,PMG TER San Gregorio,0.00,0.00,,PMG
PMG HP Piedras Negras,62.88,60.56,-3.69 %,PMG,PMGD HP Don Tito,46.94,27.08,-42.31 %,PMG
PMG HP Pulelfu,225.60,225.50,-0.04 %,PMG,PMGD PFV Arica,41.57,83.83,101.66 %,
PMG HP Punta del Viento,70.81,63.32,-10.58 %,,PMGD PFV Tallado,68.76,74.70,8.64 %,
PMG HP Renaico,76.50,76.10,-0.52 %,PMG,SAE Arica II,0.00,0.00,,
PMG HP Río Huasco,36.91,42.53,15.23 %,PMG,SAE PFV Elena,0.00,0.00,,
PMG HP San Clemente,0.00,0.00,,PMG,SAE PFV Estepa Solar,667.09,762.75,14.34 %,
PMG PE La Esperanza,26.52,0.00,-100.00 %,PMG,SAE PFV Libélula,0.00,12.87,,
PMG PFV Alto del Sol,84.40,60.93,-27.81 %,PMG,SAE PFV Los Loros,190.12,254.40,33.81 %,
PMG PFV Antay,79.30,75.27,-5.08 %,PMG,SAE San Andrés II,0.00,0.00,,
PMG PFV Caimanes,79.50,0.00,-100.00 %,PMG,TER Andes Generación,,,,
,,,,,,0.00,0.00,,
,,,,,Diésel,,,,
PMG PFV Calderaza,0.00,0.00,,PMG,,,,,
,,,,,TER Angamos-ANG1,4478.29,3704.35,-17.28 %,"LF, RO"
PMG PFV Caleu,74.10,0.00,-100.00 %,,,,,,
,,,,,TER Angamos-ANG2,4509.98,4668.29,3.51 %,RO
PMG PFV Caracas II,50.11,84.79,69.21 %,PMG,,,,,
,,,,,TER Antilhue,24.00,0.00,-100.00 %,
PMG PFV Castilla,14.80,24.69,66.82 %,PMG,,,,,
,,,,,TER Arauco,0.00,0.00,,
PMG PFV Chercan,58.43,67.03,14.72 %,,,,,,
,,,,,TER Arauco MAPA,1200.00,1021.65,-14.86 %,
PMG PFV Conguillío,0.00,0.00,,,,,,,
,,,,,TER Arica-GMAR,0.00,0.00,,
PMG PFV De los Andes,62.28,71.02,14.03 %,PMG,,,,,
,,,,,TER Arica-M1AR,0.00,0.00,,
PMG PFV Del Desierto,61.95,70.08,13.12 %,PMG,,,,,
,,,,,TER Arica-M2AR,0.00,0.00,,
PMG PFV Don Oscar,71.28,75.94,6.54 %,PMG,,,,,
,,,,,TER Atacama 1 Diésel,0.00,0.00,,
PMG PFV Emilia,35.70,35.49,-0.59 %,PMG,,,,,
,,,,,TER Atacama 1 GNL,3518.14,4452.90,26.57 %,
PMG PFV Esperanza,16.95,12.84,-24.25 %,PMG,,,,,
,,,,,TER Atacama 1 Gas Arg,400.68,0.00,-100.00 %,
PMG PFV Espiga de Oro,20.90,18.39,-12.01 %,PMG,,,,,
,,,,,TER Atacama 2 Diésel,0.00,0.00,,RO
PMG PFV Guindo Santo,57.00,44.52,-21.89 %,PMG,,,,,
,,,,,TER Atacama 2 GNL,0.00,0.00,,RO
PMG PFV Llancay,58.22,39.40,-32.33 %,PMG,,,,,
,,,,,TER Atacama 2 Gas Arg,0.00,0.00,,RO
PMG PFV Loma Los,,,,,,,,,
,7.76,4.00,-48.45 %,PMG,,,,,
Colorados,,,,,TER CBB Centro Diésel,0.00,0.00,,
,,,,,TER CBB Centro FO6,0.00,0.00,,
