0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Los Magnolios,22.52,24.01,6.62 %,,PMGD PFV Nahuén,80.30,45.86,-42.89 %,
PMGD PFV Los Molinos,76.90,89.28,16.10 %,,PMGD PFV Nan,0.00,0.00,,
PMGD PFV Los Morros I,7.92,12.06,52.27 %,,PMGD PFV Nazarino Verano,20.10,20.37,1.34 %,
PMGD PFV Los Nogales,22.60,64.03,183.32 %,,PMGD PFV Newentun,50.48,27.48,-45.56 %,
PMGD PFV Los Paltos,18.70,17.45,-6.68 %,,PMGD PFV Nihue,20.51,22.21,8.29 %,
PMGD PFV Los Patos,25.10,23.53,-6.25 %,,PMGD PFV Norte Chico,16.20,14.00,-13.58 %,
PMGD PFV Los Perales,18.91,18.95,0.21 %,,PMGD PFV Ocoa,22.60,18.17,-19.60 %,
PMGD PFV Los Puquios,0.00,0.00,,,PMGD PFV Olivia,22.96,23.38,1.83 %,
PMGD PFV Los Robles,11.09,11.27,1.62 %,,PMGD PFV Olivier,22.35,21.95,-1.79 %,
PMGD PFV Los Tauretes,21.58,21.54,-0.19 %,,PMGD PFV Olivillo,0.00,65.85,,
PMGD PFV Los Tilos,23.61,22.82,-3.35 %,,PMGD PFV Orion,23.66,16.03,-32.25 %,
PMGD PFV Los Tordos,40.95,43.40,5.98 %,,PMGD PFV Orquidea Solar,22.07,21.88,-0.86 %,
PMGD PFV Luce Solar,17.40,20.50,17.82 %,,PMGD PFV Ovalle Norte,63.42,34.50,-45.60 %,
PMGD PFV Luders,23.50,22.79,-3.02 %,,PMGD PFV Ovejería,67.40,66.10,-1.93 %,
PMGD PFV Lumbreras,27.56,27.04,-1.89 %,,PMGD PFV PAS1,80.00,85.21,6.51 %,
PMGD PFV Lumilla,0.00,0.00,,,PMGD PFV PSF Doña,,,,
,,,,,,0.00,30.20,,
,,,,,Florinda,,,,
PMGD PFV Luna,19.40,12.32,-36.49 %,,,,,,
,,,,,PMGD PFV PSF El Peral,81.91,83.61,2.08 %,
PMGD PFV Luna del Norte,19.22,19.78,2.91 %,,,,,,
,,,,,PMGD PFV PSF Horizonte,41.93,42.22,0.69 %,
PMGD PFV Macao,71.18,69.10,-2.92 %,,,,,,
,,,,,PMGD PFV PVP La Rosa,46.12,46.77,1.41 %,
PMGD PFV Macarena Solar,8.17,8.54,4.53 %,,,,,,
,,,,,PMGD PFV PVP Unihue,18.26,15.34,-15.99 %,
PMGD PFV Maikono,16.56,16.50,-0.36 %,,,,,,
,,,,,PMGD PFV Pachira,76.97,69.68,-9.47 %,
PMGD PFV Maimalicán,63.99,75.91,18.63 %,,,,,,
,,,,,PMGD PFV Paillihue,29.24,22.01,-24.73 %,
PMGD PFV Maitenlahue,21.95,22.37,1.91 %,,,,,,
,,,,,PMGD PFV Paine,71.88,70.76,-1.56 %,
PMGD PFV Malaquita II,52.97,48.77,-7.93 %,,,,,,
,,,,,PMGD PFV Palto Sunlight,66.78,65.83,-1.42 %,
PMGD PFV Malinke,13.94,13.94,0.00 %,,,,,,
,,,,,PMGD PFV Pama,14.98,13.70,-8.54 %,
PMGD PFV Malloco,21.74,22.01,1.24 %,,,,,,
,,,,,PMGD PFV Panguilemo,,,,
,,,,,,36.93,37.02,0.24 %,
PMGD PFV Malvilla,19.58,20.40,4.19 %,,Aerop.,,,,
PMGD PFV Manao,19.41,19.09,-1.65 %,,PMGD PFV Panquehue II,22.19,35.44,59.71 %,
PMGD PFV Mandinga,41.83,42.08,0.60 %,,PMGD PFV Paraguay,56.70,27.28,-51.89 %,
PMGD PFV Marambio,16.32,16.34,0.12 %,,PMGD PFV Paranal,18.47,18.32,-0.81 %,
PMGD PFV Marañon,61.16,89.50,46.34 %,,PMGD PFV Parque,,,,
,,,,,,22.81,17.52,-23.19 %,
,,,,,Bicentenario,,,,
PMGD PFV Marchigue II,67.63,71.71,6.03 %,,,,,,
,,,,,PMGD PFV Parque Curicura,36.27,41.74,15.08 %,
PMGD PFV Marchigue VII,20.44,22.33,9.25 %,,,,,,
,,,,,PMGD PFV Parque Doña,,,,
,,,,,,19.86,19.92,0.30 %,
PMGD PFV Margarita X,31.51,32.78,4.03 %,,Berta,,,,
PMGD PFV Marin,29.21,43.96,50.50 %,,PMGD PFV Parque El Olivar,75.26,63.46,-15.68 %,
PMGD PFV María Dolores,76.34,64.38,-15.67 %,,PMGD PFV Parque Farol,,,,
,,,,,,60.82,81.28,33.64 %,
,,,,,Solar,,,,
PMGD PFV María Pinto,20.15,19.96,-0.94 %,,,,,,
,,,,,PMGD PFV Parque,,,,
,,,,,,31.37,63.78,103.32 %,
PMGD PFV Maule X,0.00,0.00,,,Jotabeche,,,,
PMGD PFV Meco Chillan,0.00,0.00,,,PMGD PFV Parque La,,,,
,,,,,,81.72,80.88,-1.03 %,
,,,,,Colonia,,,,
PMGD PFV Meli,52.14,57.65,10.57 %,,,,,,
,,,,,PMGD PFV Parque La,,,,
,,,,,,13.78,75.20,445.72 %,
PMGD PFV Membrillo,6.49,8.39,29.28 %,,Travesía,,,,
PMGD PFV Mercurio Sur,23.13,19.87,-14.09 %,,PMGD PFV Parque,,,,
,,,,,,41.48,54.60,31.63 %,
,,,,,Nancagua,,,,
PMGD PFV Millahue,19.28,18.31,-5.03 %,,,,,,
,,,,,PMGD PFV Parque PVP,,,,
,,,,,,72.00,46.39,-35.57 %,
PMGD PFV Milán A,17.73,24.56,38.52 %,,Itihue,,,,
PMGD PFV Mitchi,46.36,46.86,1.08 %,,PMGD PFV Parque PVP,,,,
,,,,,,4.77,8.40,76.10 %,
,,,,,Mayos,,,,
PMGD PFV Montt,20.90,20.87,-0.14 %,,,,,,
,,,,,PMGD PFV Parque San,,,,
,,,,,,30.59,25.16,-17.75 %,
PMGD PFV Mora,0.00,20.27,,,Javier,,,,
PMGD PFV Mostazal,67.70,67.45,-0.37 %,,PMGD PFV Parque Santa Fe,69.90,62.98,-9.90 %,
PMGD PFV Moya,51.60,46.41,-10.06 %,,PMGD PFV Parque,,,,
,,,,,,47.21,46.04,-2.48 %,
,,,,,Valparaiso,,,,
PMGD PFV Mutupín,62.30,26.41,-57.61 %,,,,,,
,,,,,PMGD PFV Pastrán,71.64,65.69,-8.31 %,
,,,,,PMGD PFV Patagua,56.95,57.30,0.61 %,
,,,,,PMGD PFV Patricia Del,,,,
,,,,,,71.72,71.42,-0.42 %,
,,,,,Verano,,,,
,,,,,PMGD PFV Pedreros,20.30,23.37,15.12 %,
,,,,,PMGD PFV Pegasus,23.61,17.66,-25.20 %,
,,,,,PMGD PFV Pellin,40.47,37.49,-7.36 %,
,,,,,PMGD PFV Pelumpen,21.00,20.97,-0.14 %,
