0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
TER CMPC Bucalemu,240.00,58.60,-75.58 %,,TER IEM,0.00,0.00,,
TER CMPC Cordillera GNL,0.00,0.00,,,TER Kelar Diésel,0.00,0.00,,
TER CMPC Cordillera Gas,,,,,TER Kelar GNL,0.00,0.00,,
,1017.48,964.70,-5.19 %,,,,,,
Arg,,,,,,,,,
,,,,,TER Kelar Gas Arg,0.00,0.00,,
TER CMPC Laja,263.65,180.00,-31.73 %,,,,,,
,,,,,TER La Portada,0.00,0.00,,PMG
TER CMPC Pacífico,553.30,436.00,-21.20 %,,,,,,
,,,,,TER Lautaro I,626.71,557.43,-11.05 %,
TER CMPC Santa Fe,120.00,163.50,36.25 %,PMG,,,,,
,,,,,TER Lautaro II,512.10,424.09,-17.19 %,
TER Campiche,6471.84,5479.00,-15.34 %,RO,,,,,
,,,,,TER Llanos Blancos,0.47,42.61,8965.96 %,
TER Candelaria 1 Diésel,0.00,0.00,,,,,,,
,,,,,TER Loma Los Colorados II,535.86,337.50,-37.02 %,
TER Candelaria 1 GNL,0.00,0.00,,,,,,,
,,,,,TER Los Espinos,0.00,0.00,,
TER Candelaria 1 Gas Arg,0.00,170.00,,,,,,,
,,,,,TER Los Guindos TG1,0.00,0.00,,
TER Candelaria 2 Diésel,0.00,0.00,,,,,,,
,,,,,TER Los Guindos TG2,0.00,0.00,,
TER Candelaria 2 GNL,0.00,0.00,,,,,,,
,,,,,TER Los Pinos,0.00,0.00,,
TER Candelaria 2 Gas Arg,0.00,164.00,,,,,,,
,,,,,TER Los Vientos Diésel,0.00,0.00,,RO
TER Cardones,520.00,0.00,-100.00 %,,,,,,
,,,,,TER Los Vientos GNL,0.00,197.00,,RO
TER Cenizas,0.00,0.00,,,,,,,
,,,,,TER Los Vientos Gas Arg,934.76,304.00,-67.48 %,RO
TER Chagual,22.41,42.94,91.61 %,,,,,,
,,,,,TER Maitencillo,0.00,0.00,,
TER Cholguán,171.02,95.32,-44.26 %,,,,,,
,,,,,TER Mantos Blancos,0.00,0.00,,
TER Chuyaca,0.00,0.00,,,,,,,
,,,,,TER Masisa,0.00,0.00,,
TER Cochrane-CCH1,4203.84,4444.72,5.73 %,RO,,,,,
,,,,,TER Mejillones-CTA,3162.39,3062.76,-3.15 %,
TER Cochrane-CCH2,4270.05,4515.16,5.74 %,RO,,,,,
,,,,,TER Mejillones-CTH,3218.13,3073.89,-4.48 %,
TER Cogeneradora,,,,,,,,,
,630.96,958.00,51.83 %,RO,,,,,
Aconcagua,,,,,TER Mejillones-CTM3 Diesel,0.00,0.00,,
TER Cogeneradora Biobío,0.00,0.00,,,TER Mejillones-CTM3 GNL,1304.20,1616.70,23.96 %,
TER Colihues Diésel,0.00,0.00,,,TER Mejillones-CTM3 Gas,,,,
,,,,,,0.00,0.00,,
,,,,,Arg,,,,
TER Colihues HFO,0.00,0.00,,,,,,,
,,,,,TER Nehuenco 9B Diésel,0.00,0.00,,
