0,1,2,3,4,5,6,7,8,9
PFV Andes Solar,32.65,104.92,221.35 %,CSE,PFV Quilapilun,649.74,763.17,17.46 %,
PFV Andes Solar II-A,288.60,354.99,23.00 %,,PFV Rio Escondido,839.94,554.82,-33.95 %,
PFV Andes Solar II-B,1045.26,600.45,-42.55 %,,PFV Salvador,478.76,371.99,-22.30 %,
PFV Andes Solar III,652.96,559.37,-14.33 %,,PFV San Andres,347.68,297.69,-14.38 %,
PFV Andes Solar IV,1305.92,944.58,-27.67 %,,PFV San Pedro,233.72,503.94,115.62 %,
PFV Atacama Solar II,0.00,150.33,,,PFV Santa Isabel,1116.05,634.63,-43.14 %,
PFV Azabache,424.83,300.20,-29.34 %,,PFV Santiago,682.24,549.00,-19.53 %,
PFV Bolero,567.24,420.76,-25.82 %,,PFV Sol de Lila,415.99,569.22,36.84 %,
PFV CEME 1,1766.37,1899.00,7.51 %,,PFV Sol de los Andes,0.00,436.34,,
PFV Campos del Sol,2710.79,1836.63,-32.25 %,,PFV Sol del Desierto,1192.07,1093.55,-8.26 %,
PFV Capricornio,746.48,232.61,-68.84 %,,PFV Taira,91.45,281.97,208.33 %,
