0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PE Canela 2,464.80,442.71,-4.75 %,,PFV Carrera Pinto,35.99,19.46,-45.93 %,
PE Cardonal,103.42,206.52,99.69 %,,PFV Cerro Dominador,234.56,479.81,104.56 %,
PE Cerro Tigre,829.21,773.35,-6.74 %,,PFV Chañares,229.84,169.87,-26.09 %,
PE Ckhúri,567.40,515.91,-9.07 %,,PFV Conejo,879.39,755.64,-14.07 %,
PE Cuel,43.50,18.73,-56.94 %,,PFV Coya,1585.61,994.58,-37.27 %,
PE El Arrayán,1155.31,1116.96,-3.32 %,,PFV Desierto de Atacama,2220.33,1158.90,-47.81 %,
PE El Maitén,25.30,8.69,-65.65 %,,PFV Diego de Almagro,4.78,32.07,570.92 %,
PE Horizonte Norte,1028.39,1074.10,4.44 %,,PFV Diego de Almagro Sur,1344.03,1226.90,-8.71 %,
PE Horizonte Sur,846.39,803.20,-5.10 %,,PFV Domeyko,680.97,241.49,-64.54 %,
PE Kallpa,1165.93,497.91,-57.30 %,,PFV Don Humberto,698.25,545.66,-21.85 %,
PE La Cabaña,145.79,71.88,-50.70 %,,PFV Doña Antonia,437.50,56.31,-87.13 %,
PE La Estrella,186.14,212.31,14.06 %,,PFV Doña Carmen,166.50,146.34,-12.11 %,
PE La Flor,72.20,24.53,-66.02 %,,PFV El Aguila,13.50,13.83,2.44 %,PMG
PE Lebu,5.30,0.00,-100.00 %,PMG,PFV El Pelicano,908.18,527.08,-41.96 %,
PE Llanos del Viento,619.09,774.14,25.04 %,,PFV El Romero,768.67,842.59,9.62 %,
PE Lomas de Duqueco,102.28,80.99,-20.82 %,,PFV Elena,0.00,0.00,,
PE Los Buenos Aires,40.71,14.39,-64.65 %,,PFV Estepa Solar,1357.48,1079.19,-20.50 %,
PE Los Cerrillos,136.90,175.84,28.44 %,,PFV Finis Terrae,1705.33,1212.91,-28.88 %,
PE Los Cururos,1070.53,664.43,-37.93 %,,PFV Gabriela,0.00,1226.79,,
PE Los Olmos,204.98,102.63,-49.93 %,,PFV Gran Teno,1274.70,1609.59,26.27 %,
PE Malleco Norte,170.23,60.82,-64.27 %,,PFV Granja Solar,295.50,509.68,72.48 %,
PE Malleco Sur,166.38,76.66,-53.92 %,,PFV Guanchoi,2350.56,1823.16,-22.44 %,
PE Manantiales,77.03,124.07,61.07 %,,PFV Huatacondo,87.93,232.47,164.38 %,
PE Mesamavida,113.60,54.47,-52.05 %,,PFV Jama,45.59,134.10,194.14 %,
PE Monte Redondo,267.71,291.21,8.78 %,,PFV Javiera,448.51,334.29,-25.47 %,
PE Negrete,43.41,38.28,-11.82 %,,PFV LOS NARANJOS,57.00,23.91,-58.05 %,PMG
PE Puelche Sur,1711.40,1719.20,0.46 %,,PFV La Cruz Solar,364.54,239.17,-34.39 %,
PE Punta Colorada,2.19,0.00,-100.00 %,,PFV La Huayca II,43.28,96.52,123.01 %,
PE Punta Palmeras,456.35,466.86,2.30 %,,PFV La Huella,515.62,399.28,-22.56 %,
PE Punta Sierra,0.00,913.60,,,PFV La Silla,12.33,12.94,4.95 %,PMG
PE Punta de Talca,845.76,484.13,-42.76 %,,PFV Lalackama,113.14,267.10,136.08 %,
PE Renaico,98.65,41.31,-58.12 %,,PFV Lalackama II,23.99,80.74,236.56 %,
PE Renaico II,182.90,115.74,-36.72 %,,PFV Las Salinas,1531.49,995.90,-34.97 %,
PE San Gabriel,287.10,116.79,-59.32 %,,PFV Leyda,640.40,464.48,-27.47 %,
PE San Juan,1950.54,1655.60,-15.12 %,,PFV Libélula,0.00,0.00,,
PE San Matías,135.96,76.56,-43.69 %,,PFV Llano de Llampos,611.03,496.33,-18.77 %,
PE San Pedro,376.90,439.39,16.58 %,,PFV Los Loros,288.09,272.57,-5.39 %,
PE San Pedro 2,591.20,592.65,0.25 %,,PFV Luz del Norte,840.14,415.99,-50.49 %,
PE Sarco,1600.91,1531.78,-4.32 %,,PFV Malgarida,139.56,989.31,608.88 %,
PE Sierra Gorda Este,456.35,604.14,32.39 %,,PFV Manzano,711.51,662.76,-6.85 %,
PE Talinay Oriente,930.21,549.83,-40.89 %,,PFV María Elena,123.47,337.03,172.97 %,
PE Talinay Poniente,780.49,638.36,-18.21 %,,PFV Meseta de los Andes,927.05,1163.71,25.53 %,
PE Taltal,255.80,270.69,5.82 %,,PFV Nuevo Quillagua,715.06,769.05,7.55 %,
PE Tchamma,0.00,869.10,,,PFV Nuevo Quillagua II,755.60,838.29,10.94 %,
PE Tolpan Sur,125.23,74.70,-40.35 %,,PFV Pampa Camarones,44.70,46.55,4.14 %,PMG
PE Totoral,359.06,437.10,21.73 %,,PFV Pampa Solar Norte,388.90,265.15,-31.82 %,
PE Ucuquer 2,44.30,0.00,-100.00 %,,PFV Pampa Tigre,643.72,511.85,-20.49 %,
PE Valle de los Vientos,216.41,410.05,89.48 %,,PFV Pozo Almonte Solar II,10.20,60.83,496.37 %,PMG
PFV Almeyda,381.62,278.24,-27.09 %,,PFV Pozo Almonte Solar III,17.19,13.84,-19.49 %,
