0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV RLA,18.00,18.85,4.72 %,,PMGD PFV Santa Cecilia,12.00,12.13,1.08 %,
PMGD PFV Ramírez del,,,,,PMGD PFV Santa Clara,18.50,18.86,1.95 %,
,24.13,23.00,-4.68 %,,,,,,
Verano Solar,,,,,,,,,
,,,,,PMGD PFV Santa Cruz,51.25,63.27,23.45 %,
PMGD PFV Ranguil,0.91,0.00,-100.00 %,,,,,,
,,,,,PMGD PFV Santa Elizabeth,43.63,46.79,7.24 %,
PMGD PFV Ranguil Solar,,,,,,,,,
,21.84,22.49,2.98 %,,,,,,
Norte,,,,,PMGD PFV Santa Emilia,61.13,64.68,5.81 %,
,,,,,PMGD PFV Santa Ester,24.31,16.95,-30.28 %,
