0,1,2,3,4,5,6,7,8,9
PMGD HP El Brinco,0.75,0.03,-96.00 %,,PMGD HP Tranca del Toro,3.60,0.00,-100.00 %,
PMGD HP El Canelo,0.00,0.00,,,PMGD HP Tranquil,52.60,67.94,29.16 %,
PMGD HP El Colorado,32.95,45.35,37.63 %,,PMGD HP Truful Truful,15.41,16.77,8.83 %,
PMGD HP El Diuto,28.92,11.79,-59.23 %,,PMGD PE El Arrebol,19.23,3.51,-81.75 %,
PMGD HP El Galpón,5.24,14.63,179.20 %,,PMGD PE El Nogal,17.60,0.00,-100.00 %,
PMGD HP El Llano,5.91,4.61,-22.00 %,,PMGD PE Huajache,0.00,8.83,,
PMGD HP El Manzano,4.43,0.00,-100.00 %,,PMGD PE Las Peñas,10.34,9.02,-12.77 %,
PMGD HP El Mirador,0.01,0.00,-100.00 %,,PMGD PE Lebu III,6.82,0.00,-100.00 %,
PMGD HP El Portal,0.00,0.00,,,PMGD PE Raki,0.00,13.12,,
PMGD HP El Toro Nº2,23.55,23.76,0.89 %,,PMGD PE Ucuquer,18.40,41.07,123.21 %,
PMGD HP El Tártaro,0.00,0.00,,,PMGD PFV Abastible,,,,
,,,,,,0.00,0.00,,
,,,,,Concon,,,,
PMGD HP Ensenada,6.11,0.00,-100.00 %,,,,,,
,,,,,PMGD PFV Alameda,63.34,68.49,8.13 %,
PMGD HP Eyzaguirre,0.00,0.00,,,,,,,
,,,,,PMGD PFV Albatros,9.54,11.37,19.18 %,
PMGD HP La Arena,95.47,138.24,44.80 %,,,,,,
,,,,,PMGD PFV Albor Solar,46.63,35.96,-22.88 %,
PMGD HP La Bifurcada,2.60,2.95,13.46 %,,,,,,
,,,,,PMGD PFV Alcaldesa,54.59,41.79,-23.45 %,
PMGD HP La Compañía II,27.22,19.04,-30.05 %,,,,,,
,,,,,PMGD PFV Alcon Solar,73.36,77.96,6.27 %,
PMGD HP La Montaña,0.00,0.00,,,,,,,
,,,,,PMGD PFV Alcázar,75.14,63.68,-15.25 %,
PMGD HP La Montaña II,0.00,0.00,,,,,,,
,,,,,PMGD PFV Aldebaran,3.00,49.56,1552.00 %,
PMGD HP La Paloma,0.00,0.00,,,,,,,
,,,,,PMGD PFV Algarrobo,19.43,23.00,18.37 %,
PMGD HP La Viña-Alto La,,,,,,,,,
,4.51,4.37,-3.10 %,,,,,,
Viña,,,,,PMGD PFV Alhué,27.35,27.20,-0.55 %,
PMGD HP Las Flores,41.88,61.85,47.68 %,,PMGD PFV Alianza,62.40,76.55,22.68 %,
PMGD HP Las Vertientes,39.84,39.93,0.23 %,,PMGD PFV Alicahue,27.70,19.24,-30.54 %,
PMGD HP Los Bajos,122.79,105.96,-13.71 %,,PMGD PFV Alto Bellavista,54.72,61.15,11.75 %,
PMGD HP Los Colonos,0.00,0.00,,,PMGD PFV Alto Solar,19.10,20.89,9.37 %,
PMGD HP Los Corrales,15.35,26.62,73.42 %,,PMGD PFV Altos de Til Til,11.30,13.84,22.48 %,
PMGD HP Los Corrales II,3.18,3.35,5.35 %,,PMGD PFV Altos del Paico,0.00,0.00,,
PMGD HP Los Morros,17.42,16.69,-4.19 %,,PMGD PFV Alturas de,,,,
,,,,,,40.22,10.88,-72.95 %,
,,,,,Ovalle,,,,
PMGD HP Los Padres,0.00,0.00,,,,,,,
,,,,,PMGD PFV Amanecer,49.89,67.49,35.28 %,
PMGD HP Los Portones,0.00,0.00,,,,,,,
,,,,,PMGD PFV Amparo del Sol,17.50,14.86,-15.09 %,
PMGD HP MSA-I,0.00,0.00,,,,,,,
,,,,,PMGD PFV Anakena,75.72,69.55,-8.15 %,
PMGD HP Maisán,3.88,4.09,5.41 %,,,,,,
,,,,,PMGD PFV Ancahual,76.33,40.87,-46.46 %,
