0,1,2,3,4,5,6,7,8,9
1.2. PMGD,,,,,,,,,
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
BESS Angamos,0.00,0.00,,,PMGD HP Mallarauco,73.72,75.67,2.65 %,
BESS Arica,1.96,3.35,70.92 %,,PMGD HP Maria Elena,0.00,2.70,,
PMGD HP Allipén,60.06,65.20,8.56 %,,PMGD HP Melo,22.65,24.75,9.27 %,
PMGD HP Alto Hospicio,20.95,21.54,2.82 %,,PMGD HP Molinera,,,,
,,,,,,6.04,2.44,-59.60 %,
,,,,,Villarrica,,,,
PMGD HP Arrayán,0.00,5.40,,,,,,,
,,,,,PMGD HP Muchi,0.00,0.00,,
PMGD HP Auxiliar del,,,,,,,,,
,81.30,75.88,-6.67 %,,,,,,
Maipo,,,,,PMGD HP Munilque,0.00,0.00,,
PMGD HP Boquiamargo,7.21,8.51,18.03 %,,PMGD HP Munilque II,4.00,9.71,142.75 %,
PMGD HP Bureo,3.99,33.02,727.57 %,,PMGD HP Panguipulli,0.00,0.00,,
PMGD HP Calíboro,10.68,14.22,33.15 %,,PMGD HP Pehui,5.84,5.17,-11.47 %,
PMGD HP Cavancha,46.26,47.58,2.85 %,,PMGD HP Pichilonco,9.96,18.71,87.85 %,
PMGD HP Chanleufu II,73.79,76.24,3.32 %,,PMGD HP Picoltué,0.00,0.00,,
PMGD HP Collil,106.50,157.80,48.17 %,,PMGD HP Piutel,0.00,2.98,,
PMGD HP Contra,0.00,0.00,,,PMGD HP Puclaro,17.20,18.45,7.27 %,
PMGD HP Cosapilla,7.62,6.83,-10.37 %,,PMGD HP Purísima,2.05,3.43,67.32 %,
PMGD HP Cumpeo,23.31,35.75,53.37 %,,PMGD HP Quillaileo,0.00,0.00,,
PMGD HP Curileufu,0.00,0.00,,,PMGD HP Reca,28.07,39.68,41.36 %,
PMGD HP Don Walterio,54.33,68.05,25.25 %,,PMGD HP Robleria,30.08,13.26,-55.92 %,
PMGD HP Dongo,83.61,113.04,35.20 %,,PMGD HP Río Mulchén,0.00,0.00,,
PMGD HP Donguil,2.81,5.42,92.88 %,,PMGD HP Río Trueno,76.37,133.55,74.87 %,
PMGD HP Dosal,0.00,0.00,,,PMGD HP Santa Elena,9.53,37.27,291.08 %,
PMGD HP Doña Hilda,6.87,11.40,65.94 %,,PMGD HP Santa Isabel,3.51,0.59,-83.19 %,
PMGD HP El Agrio,0.00,0.00,,,PMGD HP Santa Rosa,10.58,10.63,0.47 %,
PMGD HP El Arrayán,0.00,3.38,,,PMGD HP Sauce Andes,0.00,0.00,,
PMGD HP El Atajo,5.97,6.02,0.84 %,,PMGD HP Trailelfú,31.22,58.71,88.05 %,
