0,1,2,3,4,5
,CAMBIOS TOPOLÓGICOS RELEVANTES SEN,,,,
Centro de Control,Instalación,Fecha F/S,Hora F/S,Fecha E/S,Hora E/S
,"S/E Chacahuín se transfiere 1,5 MW de consumos hacia S/E Villa Alegre por red MT por control",,,,
CGE - Transmisión,,07/09/2025,21:28,,
,transferencia línea de 66 kV Linares - Chacahuín.,,,,
,S/E Ejército interruptor B4 abierto y Guindo interruptor B4 abierto para disminuir profundidad de falla,,,,
CGE - Transmisión,,03/11/2025,20:26,,
en zona de Concepción.,,,,,
CGE - Transmisión,SS/EE Angol y Nahuelbuta transferidas a S/E Epuleufu por control de tensión en S/E Angol.,26/01/2026,14:48,,
,S/E Lucero 52B1 Abierto transfiriendo consumos hacia Charrúa 66 KV por control de transferencias del,,,,
CGE - Transmisión,,29/01/2026,18:42,,
52A2 de S/E Montenegro.,,,,,
,"S/E Los Ángeles transformador N°4 de 154/66 kV, 75 MVA transferido a S/E Duqueco por control",,,,
CGE - Transmisión,,24/02/2026,18:56,,
,transferencia de la línea de 154 kV Charrúa - Concepción.,,,,
,S/E Punta de Cortés Interruptores A2 - A5 - A9 - A12 - A14 abiertos para disminuir profundidad de falla,,,,
CGE - Transmisión,,17/03/2026,19:43,17/03/2026,23:33
en zona de 154 kV.,,,,,
Celeoredes,C. PFV Pataguilla queda en servicio hacia S/E EL Raco (CMPC Puente Alto),03/02/2026,21:29,,
Celeoredes,C. Carena queda en servicio hacia a línea de 44 kV Carena - Lo Prado.,03/02/2026,21:29,,
,"S/E Panimávida se transfiere 1,2 MW de consumos hacia S/E Linares Norte por red MT por control",,,,
Chilquinta,,10/06/2025,17:16,,
,transferencia línea de 66 kV Linares - Chacahuín.,,,,
,S/E Solís 52A3 de la línea de 154 kV Itahue - Solís 2 abierta para disminuir profundidad de falla en zona,,,,
Enor Chile,,17/03/2026,20:08,17/03/2026,23:36
de 154 kV.,,,,,
,S/E Santiago Solar 52H1 abierto por control de transferencia de línea de 110 kV Quillota - San Pedro,,,,
Gen. Metropolitana,,17/03/2026,22:24,,
,ante falla de ATR 220/110 kV de S/E Ventanas,,,,
,S/E Negrete 52B2 cerrado y 52B1 Abierto por control de transferencias de Línea 66 kV Buenos Aires -,,,,
STS,,26/01/2026,19:14,,
Negrete.,,,,,
,"S/E Laja 52B3 cerrado y 52B2 abierto, transferidos consumos de S/E Laja a S/E Señoraza por incendio",,,,
STS,,16/02/2026,17:34,,
cercano a línea 66 kV Charrúa - Laja.,,,,,
,S/E Lastarria 52B1 y 52B2 abiertos y S/E Pitrufquén 52BS cerrado para disminuir profundidad de falla,,,,
,"en la zona de Temuco. Se pierde la condición N-1 de los consumos de S/E Temuco, S/E Pumahue, S/E",,,,
Transelec,,16/03/2026,14:11,,
,"Padre las Casas, S/E Encinas, S/E Chivilcán., S/E Pitrufquén, S/E Gorbea, S/E Loncoche, S/E Villarrica,",,,,
S/E Pucón y S/E Pullinque.,,,,,
,S/E Parral se transfiere hacia S/E Maule 154 kV para control de transferencia de la línea de 154 kV,,,,
Transelec,,17/03/2026,06:58,17/03/2026,20:32
Charrúa - Concepción.,,,,,
,S/E Itahue 52A3 de la línea de 154 kV Itahue - Solís 1 abierta para disminuir profundidad de falla en zona,,,,
Transelec,,17/03/2026,19:59,17/03/2026,23:36
de 154 kV.,,,,,
