0,1,2
CENTRAL (≥100 MW),Disponibilidad (%),Observaciones
,,"Limitada. Causa informada: Producto de los trabajos de Desrripiado realizados en bocatoma Polcura, se aumenta el volumen de regulación,"
,,"el nuevo rango de operación de la bocatoma fluctuará entre las cotas 731,50 y 736,00 m.s.n.m. según IL 2025001890. Y Debido al inicio de la"
HE Antuco,100.00 %,
,,"temporada de riego 2025 - 2026, la central Antuco deberá generar en forma constante todo el caudal afluente natural más el caudal que la"
,,"DOH solicite turbinar por la central El Toro, con la finalidad de cumplir requerimientos de riego, según IL 2025002753."
,,"Laguna Invernada limitada. Causa informada: De acuerdo a convenio de riego de la Laguna Maule de 1947, en temporada de riego y cuando"
,,"el río Maule en Armerillo se encuentra deficitario (actual escenario) se debe al menos generar el caudal afluente a la laguna La Invernada, lo"
HE Cipreses,69.00 %,
,,"que implica no embalsar, la cota se ha fijado en la 1315.21 msnm, como cota objetivo semanal en la laguna invernada de lunes a lunes,"
,,según IL 2025002923.
,,"Limitada. Causa informada: Producto de las menores filtraciones obtenidas desde el embalse Colbún, debido a la actual disminución de la"
,,"cota del mismo, el Embalse se verá imposibilitado para cumplir con la totalidad de la dotación de riego del Canal Maule Sur y Taco General"
,,"con la generación de Central Chiburgo, poniendo en riesgo la capacidad de cumplimiento de las entregas a riego para el resto del periodo"
,,"(abril 2026). Para poder asegurar este cumplimiento legal de dotación de riego mencionada, se requiere mantener la cota del Embalse"
,,"Colbún por sobre el nivel 420,50 m.s.n.m., según IL 2026000558. // Limitado a prestar SSCC en forma simultánea ambas unidades. Causa"
HE Colbún,100.00 %,
,,"informada: Entre las cotas 420 y 418 m.s.n.m. Las tomas de carga deben ser secuencial, de modo que al efectuar el aumento de generación"
,,"debe ser con una de las unidades y la otra detenida, o bien enclavada en una potencia fija. Esta condición podrá cumplirse cualquiera sea la"
,,"magnitud de la toma de carga y su grado de rapidez. En esta condición la segunda unidad puede, en caso de que se requiera, prestar"
,,"servicios complementarios de frecuencia en modo control primario de frecuencia, control secundario de frecuencia (AGC) y control terciario"
,,"de frecuencia, según IL 2026000615."
