fecha,usd_clp,cobre_usd,eur_clp,uf_clp,oni_index,usd_clp_change_7d,usd_clp_change_30d,usd_clp_rolling_30d,cobre_change_30d,is_el_nino,is_la_nina,oni_squared
2025-04-28,936.74,4.26,1065.57,39062.41,0.002666666666666668,-0.03300265301276961,0.0002206719817767766,962.5495555555556,-0.046979865771812235,0,0,7.111111111111118e-06
2025-04-29,937.54,4.25,1069.76,39068.91,0.0013333333333333357,-0.024554175250223742,-0.00401211069601104,962.4236666666667,-0.047085201793722,0,0,1.777777777777784e-06
2025-04-30,945.42,4.27,1075.93,39075.41,0.0,-0.00486295313881524,-0.0007187400908995611,962.401,-0.040449438202247334,0,0,0.0
2025-05-01,950.545,4.275,1080.22,39081.9,-0.0013333333333333322,0.013352593761327025,-0.0026493332074245535,962.3168333333332,-0.03280542986425328,0,0,1.7777777777777748e-06
2025-05-02,955.67,4.28,1084.51,39088.4,-0.0026666666666666644,0.019044369328542032,0.009923067168279953,962.6298333333333,-0.022831050228310446,0,0,7.111111111111099e-06
2025-05-03,950.7633333333333,4.25,1077.4533333333334,39094.9,-0.004,0.0141980400802173,0.0009826319797576755,962.6609444444445,-0.029680365296803624,0,0,1.6e-05
2025-05-04,945.8566666666667,4.220000000000001,1070.3966666666665,39101.4,-0.005333333333333332,0.009348021726680589,-0.0007747106279734073,962.6365000000001,-0.03652968036529658,0,0,2.8444444444444434e-05
2025-05-05,940.95,4.19,1063.34,39107.9,-0.0066666666666666645,0.0044943100540171255,-0.01608574416172881,962.1237222222222,-0.03233256351039249,0,0,4.444444444444441e-05
2025-05-06,940.18,4.26,1062.83,39114.4,-0.008,0.002815879855792902,-0.026806016085680007,961.2605000000001,-0.004672897196261738,0,0,6.4e-05
2025-05-07,939.67,4.26,1067.69,39120.91,-0.009333333333333332,-0.006081952994436368,-0.037045766637289756,960.0554999999999,0.007092198581560183,0,0,8.711111111111109e-05
2025-05-08,945.44,4.34,1072.66,39127.41,-0.010666666666666665,-0.005370603180280709,-0.045665603423910794,958.5475000000001,0.09873417721518973,0,0,0.00011377777777777773
2025-05-09,941.22,4.28,1056.48,39133.92,-0.012,-0.015120282105747784,-0.05299379206954491,956.7918333333332,0.08629441624365497,0,0,0.000144
2025-05-10,938.5666666666667,4.286666666666667,1054.5633333333333,39136.44,-0.013333333333333332,-0.012828288848609315,-0.06144271890614417,954.7437222222222,0.09633418584825248,0,0,0.00017777777777777776
2025-05-11,935.9133333333333,4.293333333333333,1052.6466666666668,39138.96,-0.014666666666666665,-0.010512515990794946,-0.05364840861367559,952.9751666666666,0.10368466152527844,0,0,0.00021511111111111104
2025-05-12,933.26,4.3,1050.73,39141.49,-0.015999999999999997,-0.008172591529836959,-0.0528580562443548,951.2390555555555,0.08768971332209086,0,0,0.0002559999999999999
2025-05-13,941.2,4.31,1042.42,39144.01,-0.01733333333333333,0.0010848986364313529,-0.0412712425513132,949.8885000000001,0.07302904564315349,0,0,0.00030044444444444427
2025-05-14,940.18,4.33,1051.3,39146.53,-0.018666666666666668,0.0005427437291816162,-0.03875921438722418,948.6248333333334,0.06127450980392157,0,0,0.0003484444444444445
2025-05-15,939.43,4.36,1049.99,39149.06,-0.02,-0.006356828566593475,-0.027575641516660365,947.7368333333335,0.045563549160671624,0,0,0.0004
2025-05-16,940.25,4.36,1050.79,39151.58,-0.02064516129032258,-0.001030577335798255,-0.027813679367212907,946.8401666666667,0.050602409638554224,0,0,0.0004262226847034339
2025-05-17,941.6533333333333,4.36,1051.4966666666667,39154.1,-0.02129032258064516,0.0032887026316723578,-0.02845213898317911,945.9209444444444,0.053140096618357724,0,0,0.00045327783558792923
2025-05-18,943.0566666666667,4.36,1052.2033333333334,39156.63,-0.02193548387096774,0.0076324730922379125,-0.026873731641041454,945.0528333333333,0.05186972255729816,0,0,0.0004811654526534859
2025-05-19,944.46,4.36,1052.91,39159.15,-0.022580645161290325,0.01200094293123044,-0.02529490077092167,944.2358333333334,0.050602409638554224,0,0,0.0005098855359001042
2025-05-20,936.69,4.3,1051.87,39161.67,-0.023225806451612905,-0.004791755206119852,-0.033184013872259555,943.1641666666667,0.03489771359807459,0,0,0.0005394380853277836
2025-05-21,939.45,4.3149999999999995,1057.1149999999998,39164.2,-0.023870967741935485,-0.000776447063328245,-0.030205118146813814,942.1888333333333,0.0372596153846152,0,0,0.0005698231009365246
2025-05-22,942.21,4.33,1062.36,39166.72,-0.024516129032258065,0.002959241242029842,-0.019695361757912422,941.5578333333334,0.04086538461538458,0,0,0.0006010405827263268
2025-05-23,944.84,4.33,1065.33,39169.25,-0.025161290322580646,0.004881680404147826,-0.005473453749315738,941.3845,0.04086538461538458,0,0,0.0006330905306971904
2025-05-24,943.4966666666667,4.326666666666667,1066.5066666666667,39171.77,-0.025806451612903226,0.0019575498414137193,0.005838539334626969,941.5670555555556,0.020440251572327206,0,0,0.0006659729448491155
2025-05-25,942.1533333333333,4.323333333333333,1067.6833333333332,39174.3,-0.026451612903225806,-0.0009578781055928909,0.004631357453357632,941.7118333333333,0.017254901960784386,0,0,0.000699687825182102
2025-05-26,940.81,4.32,1068.86,39176.82,-0.02709677419354839,-0.003864642229422177,0.00358062267988446,941.8237222222222,0.015673981191222763,0,0,0.00073423517169615
2025-05-27,938.28,4.37,1067.93,39179.35,-0.027741935483870966,0.0016974666111519987,0.00126276549199833,941.8631666666666,0.02662490211433055,0,0,0.000769614984391259
2025-05-28,937.93,4.37,1063.17,39181.87,-0.02838709677419355,-0.0016179679599767072,0.0012703631744133137,941.9028333333333,0.025821596244131495,0,0,0.0008058272632674298
2025-05-29,940.21,4.37,1061.42,39184.4,-0.02903225806451613,-0.0021226690440560025,0.002847878490517708,941.9918333333334,0.028235294117647136,0,0,0.0008428720083246619
2025-05-30,937.37,4.36,1066.65,39186.92,-0.02967741935483871,-0.007906100503789038,-0.008514734192210827,941.7235,0.021077283372365585,0,0,0.0008807492195629553
2025-05-31,938.9033333333333,4.36,1067.7433333333333,39189.45,-0.03032258064516129,-0.004868415009415372,-0.012247359847946893,941.3354444444445,0.019883040935672502,0,0,0.0009194588969823101
2025-06-01,940.4366666666667,4.36,1068.8366666666668,39191.97,-0.03096774193548387,-0.0018220671794398902,-0.01593995137791626,940.8276666666666,0.01869158878504673,0,0,0.0009590010405827263
2025-06-02,941.97,4.36,1069.93,39194.5,-0.031612903225806455,0.0012329800916233147,-0.009248708932121152,940.5345555555556,0.025882352941176467,0,0,0.0009993756503642042
2025-06-03,939.65,4.33,1074.01,39197.03,-0.03225806451612903,0.0014601185147291584,-0.006561952656674586,940.3276666666667,0.026066350710900243,0,0,0.0010405827263267429
2025-06-04,941.53,4.39,1070.89,39199.55,-0.032903225806451615,0.0038382395274700887,0.0006163983208458124,940.347,0.04773269689737458,0,0,0.0010826222684703435
2025-06-05,936.89,4.39,1070.24,39202.08,-0.03354838709677419,-0.0035311260250370236,-0.0034993299155480218,940.2373333333333,0.030516431924882514,0,0,0.001125494276795005
2025-06-06,930.79,4.39,1064.73,39204.61,-0.034193548387096775,-0.007019640056754595,-0.009450126108101808,939.9413333333334,0.030516431924882514,0,0,0.0011691987513007284
2025-06-07,931.8299999999999,4.413333333333333,1064.6233333333334,39207.13,-0.03483870967741935,-0.007533611908929316,-0.014395413775596722,939.4876666666665,0.016897081413210335,0,0,0.0012137356919875127
2025-06-08,932.87,4.4366666666666665,1064.5166666666667,39209.66,-0.035483870967741936,-0.0080459077520727,-0.008871464694757858,939.2093333333335,0.03660436137071632,0,0,0.001259105098855359
2025-06-09,933.91,4.46,1064.41,39212.19,-0.03612903225806452,-0.008556535770778306,-0.0049614660652769205,939.0541111111111,0.04043545878693622,0,0,0.0013053069719042667
2025-06-10,937.09,4.43,1070.84,39214.8,-0.036774193548387096,-0.0027244186665247305,0.001257238918133563,939.0933333333334,0.0318322981366459,0,0,0.001352341311134235
2025-06-11,938.88,4.49,1072.39,39217.41,-0.03741935483870967,-0.002814567777978394,0.006021901720849598,939.2806666666667,0.04418604651162794,0,0,0.001400208116545265
2025-06-12,936.36,4.46,1075.78,39220.03,-0.038064516129032264,-0.0005657014163882312,-0.005142371440714055,939.1193333333333,0.03480278422273786,0,0,0.0014489073881373573
2025-06-13,930.25,4.4,1076.8,39222.64,-0.03870967741935484,-0.0005801523437080069,-0.010561807313493099,938.7883333333333,0.01616628175519641,0,0,0.00149843912591051
2025-06-14,932.76,4.413333333333334,1078.7466666666667,39225.25,-0.03935483870967742,0.0009980361224688483,-0.007100050030337535,938.566,0.012232415902140747,0,0,0.0015488033298647241
2025-06-15,935.27,4.426666666666667,1080.6933333333334,39227.86,-0.04,0.002572705736061831,-0.005296463706461085,938.4,0.015290519877675823,0,0,0.0016
2025-06-16,937.78,4.44,1082.64,39230.48,-0.043333333333333335,0.004143868252829419,-0.004113332578160378,938.2708888888889,0.01834862385321112,0,0,0.001877777777777778
2025-06-17,935.21,4.41,1082.79,39233.09,-0.04666666666666667,-0.002006210716153145,-0.008320461478101393,938.0093333333333,0.011467889908256756,0,0,0.002177777777777778
